date,pct_chg
2022-01-28,0.0
2022-01-31,-0.4
2022-02-01,1.49
2022-02-02,1.49
2022-02-03,1.49
2022-02-04,1.49
2022-02-07,1.49
2022-02-08,1.49
2022-02-09,1.49
2022-02-10,1.49
2022-02-11,1.49
2022-02-14,1.49
2022-02-15,1.49
2022-02-16,1.49
2022-02-17,1.49
2022-02-18,-0.4
2022-02-22,-0.4
2022-02-23,-0.4
2022-02-24,-0.4
2022-02-25,-0.4
2022-02-28,-0.4
2022-03-01,-0.4
2022-03-02,-0.4
2022-03-03,-0.1
2022-03-04,0.3
2022-03-07,0.3
2022-03-08,0.2
2022-03-09,0.2
2022-03-10,0.2
2022-03-11,0.2
2022-03-14,0.2
2022-03-15,0.2
2022-03-16,0.2
2022-03-17,-0.2
2022-03-18,-0.2
2022-03-21,-0.2
2022-03-22,-0.2
2022-03-23,-0.2
2022-03-24,-0.2
2022-03-25,-0.2
2022-03-28,-0.2
2022-03-29,-0.2
2022-03-30,-0.2
2022-03-31,-0.2
2022-04-01,-0.2
2022-04-04,-0.2
2022-04-05,-0.2
2022-04-06,-0.2
2022-04-07,-0.2
2022-04-08,-0.2
2022-04-11,-0.2
2022-04-12,-0.2
2022-04-13,-0.2
2022-04-14,-0.2
2022-04-18,-0.2
2022-04-19,-0.2
2022-04-20,0.0
2022-04-21,0.0
2022-04-22,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,0.0
2022-05-02,0.0
2022-05-03,-0.3
2022-05-04,-0.2
2022-05-05,-0.2
2022-05-06,-0.2
2022-05-09,-0.2
2022-05-10,-0.2
2022-05-11,-0.4
2022-05-12,-0.4
2022-05-13,-0.4
2022-05-16,-0.4
2022-05-17,-0.4
2022-05-18,-0.4
2022-05-19,-0.4
2022-05-20,-0.4
2022-05-23,-0.4
2022-05-24,-0.4
2022-05-25,-0.4
2022-05-26,-0.4
2022-05-27,-0.4
2022-05-31,-0.4
2022-06-01,-0.4
2022-06-02,-0.4
2022-06-03,-0.4
2022-06-06,-0.4
2022-06-07,-0.4
2022-06-08,-0.4
2022-06-09,-0.4
2022-06-10,-0.4
2022-06-13,-0.4
2022-06-14,-0.5
2022-06-15,-0.5
2022-06-16,-0.5
2022-06-17,-0.5
2022-06-21,-0.5
2022-06-22,-0.5
2022-06-23,-0.5
2022-06-24,-0.5
2022-06-27,-0.5
2022-06-28,-0.5
2022-06-29,-0.5
2022-06-30,-0.5
2022-07-01,-0.5
2022-07-05,-0.7
2022-07-06,-0.7
2022-07-07,-0.7
2022-07-08,-0.7
2022-07-11,-0.7
2022-07-12,-0.7
2022-07-13,-0.7
2022-07-14,-0.7
2022-07-15,-0.7
2022-07-18,-0.7
2022-07-19,-0.7
2022-07-20,-0.7
2022-07-21,-0.7
2022-07-22,-0.7
2022-07-25,-0.7
2022-07-26,-0.7
2022-07-27,-0.7
2022-07-29,-0.7
2022-08-01,-0.7
2022-08-02,-0.7
2022-08-04,-0.7
2022-08-05,-0.7
2022-08-08,-0.7
2022-08-09,-0.7
2022-08-10,-0.7
2022-08-11,-0.7
2022-08-12,-0.7
2022-08-15,-0.7
2022-08-16,-0.7
2022-08-17,-0.7
2022-08-18,-0.7
2022-08-19,-0.7
2022-08-22,-0.7
2022-08-23,-0.7
2022-08-24,-0.7
2022-08-25,-0.7
2022-08-26,-0.7
2022-08-29,-0.7
2022-08-30,-0.7
2022-08-31,-0.7
2022-09-01,-0.7
2022-09-02,-0.7
2022-09-06,0.6
2022-09-07,0.5
2022-09-08,0.5
2022-09-09,0.5
2022-09-12,0.5
2022-09-13,0.5
2022-09-14,0.5
2022-09-15,0.5
2022-09-16,0.5
2022-09-19,0.5
2022-09-20,0.5
2022-09-21,0.5
2022-09-22,0.9
2022-09-23,0.9
2022-09-26,1.0
2022-09-27,1.0
2022-09-28,1.0
2022-09-29,1.0
2022-09-30,1.0
2022-10-03,1.0
2022-10-04,1.0
2022-10-05,1.0
2022-10-06,1.0
2022-10-07,1.0
2022-10-10,1.0
2022-10-11,1.0
2022-10-12,-0.2
2022-10-13,-0.2
2022-10-14,-0.2
2022-10-17,-0.2
2022-10-18,-0.2
2022-10-19,-0.2
2022-10-20,-0.2
2022-10-21,-0.2
2022-10-24,-0.2
2022-10-25,-0.2
2022-10-26,-0.2
2022-10-27,-0.2
2022-10-28,-0.2
2022-11-01,-0.2
2022-11-02,-0.2
2022-11-03,-0.2
2022-11-04,-0.2
2022-11-07,-0.2
2022-11-08,-0.2
2022-11-09,-0.2
2022-11-10,-0.2
2022-11-11,-0.2
2022-11-14,-0.2
2022-11-15,-0.2
2022-11-16,-0.2
2022-11-17,-0.2
2022-11-18,-0.2
2022-11-21,-0.2
2022-11-22,-0.2
2022-11-23,-0.2
2022-11-25,-0.2
2022-11-28,1.49
2022-11-29,1.49
2022-11-30,1.49
2022-12-01,1.69
2022-12-02,1.69
2022-12-05,1.69
2022-12-06,1.69
2022-12-07,1.69
2022-12-08,1.69
2022-12-09,1.69
2022-12-12,1.69
2022-12-13,1.69
2022-12-14,1.79
2022-12-15,1.79
2022-12-16,1.79
2022-12-19,1.79
2022-12-20,1.79
2022-12-21,1.79
2022-12-22,1.79
2022-12-23,1.79
2022-12-27,1.79
2022-12-28,1.79
2022-12-29,1.79
2022-12-30,1.79
2023-01-03,1.79
2023-01-04,2.49
2023-01-05,2.49
2023-01-06,2.29
2023-01-09,2.29
