date,pct_chg
2022-02-04,-0.2
2022-02-07,-0.0
2022-02-08,-0.0
2022-02-09,0.08
2022-02-10,-0.1
2022-02-11,-0.11
2022-02-14,-0.31
2022-02-15,-0.1
2022-02-16,-0.21
2022-02-17,-0.21
2022-02-18,-0.1
2022-02-22,0.1
2022-02-23,-0.1
2022-02-24,0.1
2022-02-25,-0.1
2022-02-28,0.05
2022-03-01,0.36
2022-03-02,0.3
2022-03-03,0.31
2022-03-04,0.31
2022-03-07,0.31
2022-03-08,0.31
2022-03-09,0.21
2022-03-10,0.31
2022-03-11,0.49
2022-03-14,0.26
2022-03-15,0.31
2022-03-16,0.41
2022-03-17,0.31
2022-03-18,0.46
2022-03-21,0.41
2022-03-22,0.51
2022-03-23,0.46
2022-03-24,0.51
2022-03-25,0.51
2022-03-28,0.67
2022-03-29,0.51
2022-03-30,0.51
2022-03-31,0.93
2022-04-01,0.84
2022-04-04,0.82
2022-04-05,0.51
2022-04-06,0.51
2022-04-07,0.72
2022-04-08,0.72
2022-04-11,0.82
2022-04-12,0.82
2022-04-13,0.93
2022-04-14,1.13
2022-04-18,0.82
2022-04-19,1.03
2022-04-20,1.03
2022-04-21,0.93
2022-04-22,0.82
2022-04-25,1.03
2022-04-26,0.93
2022-04-27,1.03
2022-04-28,1.03
2022-04-29,0.87
2022-05-02,0.93
2022-05-03,1.03
2022-05-04,0.93
2022-05-05,0.94
2022-05-06,0.82
2022-05-09,0.72
2022-05-10,0.62
2022-05-11,0.62
2022-05-12,0.67
2022-05-13,0.41
2022-05-16,0.41
2022-05-17,0.72
2022-05-18,0.62
2022-05-19,0.62
2022-05-20,0.51
2022-05-23,0.62
2022-05-24,0.67
2022-05-25,0.77
2022-05-26,0.77
2022-05-27,0.72
2022-05-31,0.51
2022-06-01,1.03
2022-06-02,0.72
2022-06-03,0.87
2022-06-06,1.13
2022-06-07,1.13
2022-06-08,0.67
2022-06-09,0.93
2022-06-10,1.03
2022-06-13,0.62
2022-06-14,0.62
2022-06-15,0.72
2022-06-16,0.82
2022-06-17,0.72
2022-06-21,0.72
2022-06-22,0.62
2022-06-23,0.62
2022-06-24,0.72
2022-06-27,0.72
2022-06-28,0.72
2022-06-29,0.72
2022-06-30,0.72
2022-07-01,0.98
2022-07-05,0.72
2022-07-06,0.82
2022-07-07,0.82
2022-07-08,0.92
2022-07-11,0.82
2022-07-12,0.82
2022-07-13,0.82
2022-07-14,0.93
2022-07-15,0.93
2022-07-18,0.87
2022-07-19,0.82
2022-07-20,0.98
2022-07-21,1.23
2022-07-22,1.13
2022-07-25,1.08
2022-07-26,1.03
2022-07-27,1.03
2022-07-28,1.34
2022-07-29,1.23
2022-08-01,1.23
2022-08-02,1.13
2022-08-03,1.34
2022-08-04,1.34
2022-08-05,1.39
2022-08-08,1.34
2022-08-09,1.34
2022-08-10,1.44
2022-08-11,1.34
2022-08-12,1.44
2022-08-15,1.44
2022-08-16,1.44
2022-08-17,1.39
2022-08-18,1.44
2022-08-19,1.44
2022-08-22,1.34
2022-08-23,1.34
2022-08-24,1.44
2022-08-25,1.44
2022-08-26,1.44
2022-08-29,1.54
2022-08-30,1.65
2022-08-31,1.54
2022-09-01,1.54
2022-09-02,1.54
2022-09-06,1.54
2022-09-07,1.54
2022-09-08,1.44
2022-09-09,1.65
2022-09-12,1.65
2022-09-13,1.54
2022-09-14,1.65
2022-09-15,1.65
2022-09-16,1.65
2022-09-19,1.75
2022-09-20,1.75
2022-09-21,1.7
2022-09-22,1.75
2022-09-23,1.8
2022-09-26,1.65
2022-09-27,1.76
2022-09-28,1.9
2022-09-29,1.85
2022-09-30,1.85
2022-10-03,1.85
2022-10-04,1.95
2022-10-05,1.95
2022-10-06,2.01
2022-10-07,1.95
2022-10-10,1.95
2022-10-11,1.95
2022-10-12,2.06
2022-10-13,1.95
2022-10-14,1.95
2022-10-17,2.06
2022-10-18,2.26
2022-10-19,2.47
2022-10-20,2.47
2022-10-21,2.57
2022-10-24,2.47
2022-10-25,2.47
2022-10-26,2.67
2022-10-27,2.57
2022-10-28,2.47
2022-10-31,2.47
2022-11-01,2.57
2022-11-02,2.57
2022-11-03,2.57
2022-11-04,2.67
2022-11-07,2.78
2022-11-08,2.67
2022-11-09,2.57
2022-11-10,2.67
2022-11-11,2.67
2022-11-14,2.67
2022-11-15,2.67
2022-11-16,2.73
2022-11-17,2.73
2022-11-18,2.67
2022-11-21,2.78
2022-11-22,2.67
2022-11-23,2.88
2022-11-25,2.78
2022-11-28,2.78
2022-11-29,2.78
2022-11-30,2.83
2022-12-01,2.78
2022-12-02,2.78
2022-12-05,2.78
2022-12-06,2.88
2022-12-07,2.98
2022-12-08,2.88
2022-12-09,2.93
2022-12-12,3.09
2022-12-13,3.03
2022-12-14,3.19
2022-12-15,3.09
2022-12-16,3.14
2022-12-19,3.19
2022-12-20,3.09
2022-12-21,3.14
2022-12-22,3.19
2022-12-23,3.19
2022-12-27,3.34
2022-12-28,3.29
2022-12-29,3.29
2022-12-30,3.4
2023-01-03,3.4
2023-01-04,3.29
2023-01-05,3.4
2023-01-06,3.5
2023-01-09,3.65
2023-01-10,3.65
2023-01-11,3.7
2023-01-12,3.81
2023-01-13,4.22
2023-01-17,4.32
2023-01-18,4.22
2023-01-19,4.25
2023-01-20,4.32
2023-01-23,4.32
2023-01-24,4.42
2023-01-25,4.32
2023-01-26,4.32
2023-01-27,4.37
2023-01-30,4.37
2023-01-31,4.42
2023-02-01,4.32
2023-02-02,4.37
2023-02-03,4.42
