date,pct_chg
2022-02-04,-0.4
2022-02-07,-0.4
2022-02-08,-0.4
2022-02-09,-1.0
2022-02-10,-0.5
2022-02-11,-0.5
2022-02-14,-0.5
2022-02-15,-0.5
2022-02-16,-0.5
2022-02-17,-0.5
2022-02-18,-0.5
2022-02-22,-0.5
2022-02-23,-0.5
2022-02-24,-0.5
2022-02-25,-0.4
2022-02-28,-0.5
2022-03-01,-0.5
2022-03-02,-0.5
2022-03-03,-0.5
2022-03-04,-0.5
2022-03-07,-0.5
2022-03-08,-2.0
2022-03-09,-1.3
2022-03-10,-1.3
2022-03-11,-1.3
2022-03-14,-1.3
2022-03-15,-1.3
2022-03-16,-1.3
2022-03-17,-1.5
2022-03-18,-1.5
2022-03-21,-1.8
2022-03-22,-1.8
2022-03-23,-2.0
2022-03-24,-2.0
2022-03-25,-2.0
2022-03-28,-0.9
2022-03-29,-0.3
2022-03-30,-0.3
2022-03-31,-0.3
2022-04-01,-2.2
2022-04-04,-2.2
2022-04-05,-2.2
2022-04-06,-1.9
2022-04-07,-1.5
2022-04-08,-1.5
2022-04-11,-1.4
2022-04-12,-1.4
2022-04-13,-1.4
2022-04-14,-1.9
2022-04-18,-1.2
2022-04-19,-1.2
2022-04-20,-1.2
2022-04-21,-1.2
2022-04-22,-1.2
2022-04-25,-1.2
2022-04-26,-1.2
2022-04-27,-1.2
2022-04-28,-1.6
2022-04-29,-1.4
2022-05-02,-1.6
2022-05-03,-1.6
2022-05-04,-1.6
2022-05-05,-1.6
2022-05-06,-1.7
2022-05-09,-1.7
2022-05-10,-1.9
2022-05-11,-1.7
2022-05-12,-1.7
2022-05-13,-1.4
2022-05-16,-1.4
2022-05-17,-1.4
2022-05-18,-1.4
2022-05-19,-1.4
2022-05-20,-1.4
2022-05-23,-1.4
2022-05-24,-1.4
2022-05-25,-1.4
2022-05-26,-1.4
2022-05-27,-1.4
2022-05-31,-1.4
2022-06-01,-1.4
2022-06-02,-2.3
2022-06-03,-2.3
2022-06-06,-2.3
2022-06-07,-2.3
2022-06-08,-2.3
2022-06-09,-1.4
2022-06-10,-1.4
2022-06-13,-2.1
2022-06-14,-2.3
2022-06-15,-1.4
2022-06-16,-2.3
2022-06-17,-2.3
2022-06-21,-2.3
2022-06-22,-2.3
2022-06-23,-2.3
2022-06-24,-2.3
2022-06-27,-2.3
2022-06-28,-2.3
2022-06-29,-2.3
2022-06-30,-2.3
2022-07-01,-2.2
2022-07-05,-2.2
2022-07-06,-2.2
2022-07-07,-2.2
2022-07-08,-1.5
2022-07-11,-1.5
2022-07-12,-1.5
2022-07-13,-1.5
2022-07-14,-1.5
2022-07-15,-1.5
2022-07-18,-1.5
2022-07-19,-1.5
2022-07-20,-1.5
2022-07-21,-1.5
2022-07-22,-1.7
2022-07-25,-1.7
2022-07-26,-1.5
2022-07-27,-1.5
2022-07-28,-1.5
2022-07-29,-1.5
2022-08-01,-1.7
2022-08-02,-1.7
2022-08-03,-1.6
2022-08-04,-1.7
2022-08-05,-1.6
2022-08-08,-1.6
2022-08-09,-1.6
2022-08-10,-1.6
2022-08-11,-1.6
2022-08-12,-1.6
2022-08-15,-1.6
2022-08-16,-1.6
2022-08-17,-1.6
2022-08-18,-1.6
2022-08-19,-1.6
2022-08-22,-1.6
2022-08-23,-1.6
2022-08-24,-1.6
2022-08-25,-1.6
2022-08-26,-1.6
2022-08-29,-1.6
2022-08-30,-1.6
2022-08-31,-1.6
2022-09-01,-1.6
2022-09-02,-1.6
2022-09-06,-1.6
2022-09-07,-1.9
2022-09-08,-1.9
2022-09-09,-1.9
2022-09-12,-1.9
2022-09-13,-1.9
2022-09-14,-1.9
2022-09-15,-1.9
2022-09-16,-1.9
2022-09-19,-1.9
2022-09-20,-1.9
2022-09-21,-1.9
2022-09-22,-1.9
2022-09-23,-1.9
2022-09-26,-1.9
2022-09-27,-1.9
2022-09-28,-1.9
2022-09-29,-1.9
2022-09-30,-1.9
2022-10-03,-1.6
2022-10-04,-1.6
2022-10-05,-1.6
2022-10-06,-1.6
2022-10-07,-1.6
2022-10-10,-1.6
2022-10-11,-1.6
2022-10-12,-1.6
2022-10-13,-1.6
2022-10-14,-1.6
2022-10-17,-1.6
2022-10-18,-1.6
2022-10-19,-1.6
2022-10-20,-1.6
2022-10-21,-1.1
2022-10-24,-1.1
2022-10-25,-1.1
2022-10-26,-1.1
2022-10-27,-1.1
2022-10-28,-1.1
2022-10-31,-1.1
2022-11-01,-1.4
2022-11-02,-1.4
2022-11-03,-1.5
2022-11-04,-1.5
2022-11-07,-1.5
2022-11-08,-1.5
2022-11-09,-1.5
2022-11-10,-1.2
2022-11-11,-1.1
2022-11-14,-1.1
2022-11-15,-1.1
2022-11-16,-1.1
2022-11-17,-1.1
2022-11-18,-1.1
2022-11-21,-1.1
2022-11-22,-1.1
2022-11-23,-1.1
2022-11-25,-1.1
2022-11-28,-1.1
2022-11-29,-1.1
2022-11-30,-1.1
2022-12-01,-1.1
2022-12-02,-1.1
2022-12-05,-0.4
2022-12-06,-0.4
2022-12-07,-0.4
2022-12-08,-0.4
2022-12-09,-0.3
2022-12-12,-0.3
2022-12-13,-0.3
2022-12-14,-0.3
2022-12-15,-0.3
2022-12-16,-0.3
2022-12-19,-0.3
2022-12-20,-0.3
2022-12-21,-0.3
2022-12-22,-0.3
2022-12-23,-0.3
2022-12-27,-0.3
2022-12-28,-0.3
2022-12-29,-0.3
2022-12-30,-0.3
2023-01-03,-0.3
2023-01-04,-0.3
2023-01-05,0.2
2023-01-06,0.2
2023-01-09,0.2
2023-01-10,0.3
2023-01-11,0.3
2023-01-12,0.3
2023-01-13,0.3
2023-01-17,0.0
2023-01-18,1.0
2023-01-19,1.0
2023-01-20,1.0
2023-01-23,1.1
2023-01-24,1.1
2023-01-25,1.1
2023-01-26,1.1
2023-01-27,1.1
2023-01-30,1.1
2023-01-31,1.2
2023-02-01,1.2
2023-02-02,1.2
2023-02-03,1.2
