date,pct_chg
2021-12-31,-0.41
2022-01-03,0.51
2022-01-04,0.51
2022-01-05,0.2
2022-01-06,0.2
2022-01-07,0.64
2022-01-10,0.51
2022-01-11,-0.0
2022-01-12,0.0
2022-01-13,0.51
2022-01-14,1.02
2022-01-18,0.15
2022-01-19,-0.31
2022-01-20,-0.1
2022-01-21,-0.31
2022-01-24,-0.31
2022-01-25,-0.31
2022-01-26,-0.2
2022-01-27,-0.31
2022-01-28,-0.61
2022-01-31,-0.61
2022-02-01,-0.61
2022-02-02,-0.41
2022-02-03,-0.47
2022-02-04,0.41
2022-02-07,0.41
2022-02-08,0.4
2022-02-09,-0.31
2022-02-10,-0.36
2022-02-11,-0.36
2022-02-14,-0.36
2022-02-15,-0.36
2022-02-16,-0.36
2022-02-17,-0.41
2022-02-18,-0.51
2022-02-22,-0.31
2022-02-23,-0.41
2022-02-24,-0.51
2022-02-25,-0.31
2022-02-28,-0.61
2022-03-01,-0.51
2022-03-02,-0.51
2022-03-03,0.2
2022-03-04,0.2
2022-03-07,0.2
2022-03-08,0.2
2022-03-09,0.24
2022-03-10,-0.61
2022-03-11,-0.61
2022-03-14,-0.61
2022-03-15,-0.51
2022-03-16,-0.71
2022-03-17,-0.51
2022-03-18,-0.31
2022-03-21,-0.51
2022-03-22,0.61
2022-03-23,1.22
2022-03-24,0.51
2022-03-25,0.61
2022-03-28,-0.08
2022-03-29,-0.36
2022-03-30,-0.31
2022-03-31,-0.2
2022-04-01,0.0
2022-04-04,0.1
2022-04-05,0.1
2022-04-06,0.41
2022-04-07,-0.31
2022-04-08,0.0
2022-04-11,0.1
2022-04-12,0.2
2022-04-13,-0.15
2022-04-14,0.71
2022-04-18,0.92
2022-04-19,0.92
2022-04-20,0.92
2022-04-21,0.51
2022-04-22,0.51
2022-04-25,0.81
2022-04-26,0.41
2022-04-27,0.51
2022-04-28,0.81
2022-04-29,0.92
2022-05-02,0.92
2022-05-03,0.92
2022-05-04,0.92
2022-05-05,0.92
2022-05-06,0.81
2022-05-09,0.81
2022-05-10,0.31
2022-05-11,0.31
2022-05-12,0.31
2022-05-13,0.1
2022-05-16,0.2
2022-05-17,0.2
2022-05-18,0.2
2022-05-19,2.49
2022-05-20,1.22
2022-05-23,-0.51
2022-05-24,-0.71
2022-05-25,-0.61
2022-05-26,-0.61
2022-05-27,-0.46
2022-05-31,0.2
2022-06-01,-0.15
2022-06-02,-0.15
2022-06-03,-0.15
2022-06-06,-0.71
2022-06-07,-0.51
2022-06-08,-0.31
2022-06-09,-0.24
2022-06-10,-0.24
2022-06-13,-0.51
2022-06-14,-0.92
2022-06-15,-0.51
2022-06-16,-0.51
2022-06-17,-0.51
2022-06-21,-0.81
2022-06-22,-0.41
2022-06-23,-0.31
2022-06-24,-0.31
2022-06-27,-0.31
2022-06-28,-0.41
2022-06-29,1.42
2022-06-30,-0.31
2022-07-01,-0.31
2022-07-05,-0.31
