date,pct_chg
2022-01-31,0.3
2022-02-01,0.3
2022-02-02,0.5
2022-02-03,0.5
2022-02-04,0.5
2022-02-07,0.5
2022-02-08,0.5
2022-02-09,0.5
2022-02-10,1.1
2022-02-11,0.5
2022-02-14,0.5
2022-02-15,0.5
2022-02-16,0.5
2022-02-17,0.5
2022-02-18,1.1
2022-02-22,1.1
2022-02-23,1.1
2022-02-24,1.1
2022-02-25,1.1
2022-02-28,1.1
2022-03-01,1.1
2022-03-02,1.1
2022-03-03,1.1
2022-03-04,1.39
2022-03-07,1.49
2022-03-08,1.49
2022-03-09,1.49
2022-03-10,1.49
2022-03-11,1.49
2022-03-14,1.49
2022-03-15,1.49
2022-03-16,1.49
2022-03-17,1.49
2022-03-18,1.49
2022-03-21,1.49
2022-03-22,1.49
2022-03-23,2.69
2022-03-24,5.58
2022-03-25,2.89
2022-03-28,2.89
2022-03-29,5.58
2022-03-30,5.58
2022-03-31,1.69
2022-04-01,1.69
2022-04-04,1.69
2022-04-05,1.69
2022-04-06,1.69
2022-04-07,1.69
2022-04-08,1.69
2022-04-11,1.69
2022-04-12,1.69
2022-04-13,1.69
2022-04-14,1.69
2022-04-18,1.69
2022-04-19,1.69
2022-04-20,1.69
2022-04-21,1.69
2022-04-22,1.69
2022-04-25,1.69
2022-04-26,1.69
2022-04-27,1.69
2022-04-28,1.69
2022-04-29,1.69
2022-05-02,1.69
2022-05-03,1.59
2022-05-04,1.59
2022-05-05,1.59
2022-05-06,1.59
2022-05-09,0.9
2022-05-10,0.9
2022-05-11,0.9
2022-05-12,0.9
2022-05-13,0.9
2022-05-16,0.9
2022-05-17,0.9
2022-05-18,0.9
2022-05-19,0.9
2022-05-20,0.9
2022-05-23,0.9
2022-05-24,0.9
2022-05-25,1.59
2022-05-26,1.5
2022-05-27,1.49
2022-05-31,1.59
2022-06-01,1.59
2022-06-02,1.59
2022-06-03,1.59
2022-06-06,1.59
2022-06-07,1.59
2022-06-08,1.59
2022-06-09,1.59
2022-06-10,1.59
2022-06-13,1.59
2022-06-14,1.59
2022-06-15,1.59
2022-06-16,1.59
2022-06-17,1.59
2022-06-21,1.59
2022-06-22,1.59
2022-06-23,1.59
2022-06-24,1.59
2022-06-27,1.59
2022-06-28,1.59
2022-06-29,1.59
2022-06-30,1.59
2022-07-01,1.59
2022-07-05,1.59
2022-07-06,1.59
2022-07-07,1.59
2022-07-08,1.59
2022-07-11,1.59
2022-07-12,1.59
2022-07-13,1.59
2022-07-14,1.59
2022-07-15,1.59
2022-07-18,1.59
2022-07-19,1.59
2022-07-20,1.59
2022-07-21,1.59
2022-07-22,1.59
2022-07-25,1.59
2022-07-26,1.59
2022-07-27,1.59
2022-07-28,1.59
2022-07-29,1.59
2022-08-01,1.59
2022-08-02,1.59
2022-08-03,1.59
2022-08-04,1.59
2022-08-05,1.59
2022-08-08,1.59
2022-08-09,1.59
2022-08-10,1.59
2022-08-11,1.59
2022-08-12,1.59
2022-08-15,1.59
2022-08-16,1.59
2022-08-17,1.59
2022-08-18,1.59
2022-08-19,1.59
2022-08-22,1.59
2022-08-23,1.59
2022-08-24,1.59
2022-08-25,1.59
2022-08-26,1.59
2022-08-29,1.59
2022-08-30,1.59
2022-08-31,1.59
2022-09-01,1.59
2022-09-02,1.59
2022-09-06,1.59
2022-09-07,1.59
2022-09-08,1.59
2022-09-09,1.59
2022-09-12,1.59
2022-09-13,1.59
2022-09-14,1.59
2022-09-15,1.59
2022-09-19,1.59
2022-09-20,1.59
2022-09-21,1.59
2022-09-22,1.59
2022-09-23,1.59
2022-09-26,1.59
2022-09-27,1.59
2022-09-28,1.59
2022-09-29,1.59
2022-09-30,1.59
2022-10-03,1.59
2022-10-04,1.59
2022-10-05,1.59
2022-10-06,1.59
2022-10-07,1.59
2022-10-10,1.59
2022-10-11,1.59
2022-10-12,1.59
2022-10-13,1.59
2022-10-14,1.59
2022-10-17,1.59
2022-10-18,1.59
2022-10-19,1.59
2022-10-20,1.59
2022-10-24,1.59
2022-10-25,1.59
2022-10-26,1.59
2022-10-27,1.59
2022-10-31,1.59
2022-11-01,1.59
2022-11-02,1.59
2022-11-03,1.59
2022-11-07,1.59
2022-11-08,1.59
2022-11-09,1.59
2022-11-10,1.59
2022-11-11,1.59
2022-11-14,1.59
2022-11-15,1.59
2022-11-16,1.59
2022-11-17,1.59
2022-11-18,1.59
2022-11-21,1.59
2022-11-22,1.59
2022-11-23,1.59
2022-11-25,1.59
2022-11-28,1.59
2022-11-29,1.59
2022-11-30,1.59
2022-12-01,1.59
2022-12-02,1.59
2022-12-05,1.59
2022-12-06,1.59
2022-12-07,1.59
2022-12-08,1.59
2022-12-09,1.59
2022-12-12,1.59
2022-12-13,1.59
2022-12-14,1.59
2022-12-15,3.19
2022-12-16,3.19
2022-12-19,3.19
2022-12-20,3.19
2022-12-21,3.19
2022-12-22,1.59
2022-12-23,1.59
2022-12-27,1.59
2022-12-28,10.26
2022-12-29,9.16
2022-12-30,19.52
2023-01-03,14.39
2023-01-04,15.44
2023-01-05,4.68
2023-01-06,0.6
2023-01-09,0.6
2023-01-10,0.6
2023-01-11,-9.46
2023-01-12,-9.46
2023-01-13,-9.46
2023-01-17,-6.37
2023-01-18,-6.37
2023-01-19,-6.37
2023-01-20,-15.34
2023-01-23,-16.53
2023-01-24,-16.53
2023-01-25,9.46
2023-01-26,3.69
2023-01-27,0.7
2023-01-30,2.29
2023-01-31,1.29
2023-02-01,-3.29
2023-02-02,-1.39
2023-02-03,-9.96
