date,pct_chg
2021-12-23,-0.1
2021-12-27,-0.1
2021-12-28,0.0
2021-12-29,-0.2
2021-12-30,0.0
2021-12-31,0.51
2022-01-03,0.71
2022-01-04,0.71
2022-01-05,0.3
2022-01-06,0.81
2022-01-07,0.61
2022-01-10,0.41
2022-01-11,0.41
2022-01-12,0.41
2022-01-13,0.61
2022-01-14,0.61
2022-01-18,-0.1
2022-01-19,-0.0
2022-01-20,0.1
2022-01-21,-0.0
2022-01-24,-0.2
2022-01-25,-0.2
2022-01-26,-0.1
2022-01-27,-0.0
2022-01-28,-0.2
2022-01-31,-0.2
2022-02-01,-0.0
2022-02-02,0.1
2022-02-03,0.1
2022-02-04,0.1
2022-02-07,0.1
2022-02-08,0.3
2022-02-09,0.2
2022-02-10,0.3
2022-02-11,0.1
2022-02-14,0.3
2022-02-15,0.51
2022-02-16,0.51
2022-02-17,0.81
2022-02-18,0.81
2022-02-22,0.1
2022-02-23,-0.2
2022-02-24,-0.1
2022-02-25,0.1
2022-02-28,0.1
2022-03-01,0.2
2022-03-02,0.1
2022-03-03,0.1
2022-03-04,-0.0
2022-03-07,-0.0
2022-03-08,-0.0
2022-03-09,-0.0
2022-03-10,0.1
2022-03-11,-0.0
2022-03-14,-0.0
2022-03-15,-0.05
2022-03-16,-0.0
2022-03-17,-0.1
2022-03-18,0.2
2022-03-21,-0.0
2022-03-22,-0.1
2022-03-23,0.3
2022-03-24,0.1
2022-03-25,0.3
2022-03-28,-0.1
2022-03-29,0.2
2022-03-30,0.41
2022-03-31,-0.0
2022-04-01,0.2
2022-04-04,0.1
2022-04-05,-0.0
2022-04-06,0.3
2022-04-07,0.1
2022-04-08,0.1
2022-04-11,0.2
2022-04-12,0.3
2022-04-13,0.41
2022-04-14,0.41
2022-04-18,0.51
2022-04-19,0.61
2022-04-20,0.2
2022-04-21,0.1
2022-04-22,0.2
2022-04-25,0.1
2022-04-26,-0.0
2022-04-27,0.1
2022-04-28,0.1
2022-04-29,-0.0
2022-05-02,-0.0
2022-05-03,-0.1
2022-05-04,-0.2
2022-05-05,-0.2
2022-05-06,-0.2
2022-05-09,-0.3
2022-05-10,-0.41
2022-05-11,-0.61
2022-05-12,-0.71
2022-05-13,-0.71
2022-05-16,-0.71
2022-05-17,-0.61
2022-05-18,-0.51
2022-05-19,-0.41
2022-05-20,-0.51
2022-05-23,-0.41
2022-05-24,-0.41
2022-05-25,-0.41
2022-05-26,-0.41
2022-05-27,-0.1
2022-05-31,-0.2
2022-06-01,-0.2
2022-06-02,-0.2
2022-06-03,-0.25
2022-06-06,-0.2
2022-06-07,-0.3
2022-06-08,-0.3
2022-06-09,-0.0
2022-06-10,-0.1
2022-06-13,-0.2
2022-06-14,-0.3
2022-06-15,-0.3
2022-06-16,-0.3
2022-06-17,-0.41
2022-06-21,-0.41
2022-06-22,-0.3
2022-06-23,-0.3
2022-06-24,-0.3
2022-06-27,-0.2
2022-06-28,-0.2
2022-06-29,-0.2
2022-06-30,-0.2
2022-07-01,-0.2
2022-07-05,-0.1
2022-07-06,-0.2
2022-07-07,-0.1
2022-07-08,-0.1
2022-07-11,-0.0
2022-07-12,-0.0
2022-07-13,0.2
2022-07-14,-0.1
2022-07-15,-0.1
2022-07-18,0.1
2022-07-19,0.2
2022-07-20,0.2
2022-07-21,0.1
2022-07-22,0.1
2022-07-25,0.1
2022-07-26,0.2
2022-07-27,0.3
2022-07-28,0.41
2022-07-29,0.41
2022-08-01,0.3
2022-08-02,0.3
2022-08-03,0.3
2022-08-04,0.3
2022-08-05,0.3
2022-08-08,0.41
2022-08-09,0.41
2022-08-10,0.41
2022-08-11,0.41
2022-08-12,0.41
2022-08-15,0.41
2022-08-16,0.41
2022-08-17,0.41
