date,pct_chg
2022-02-01,1.29
2022-02-02,1.29
2022-02-03,1.29
2022-02-04,1.29
2022-02-07,1.29
2022-02-08,-1.39
2022-02-09,-1.39
2022-02-10,-1.39
2022-02-11,-1.39
2022-02-14,-1.39
2022-02-15,-1.39
2022-02-16,0.2
2022-02-17,0.2
2022-02-18,0.3
2022-02-22,0.3
2022-02-23,-0.2
2022-02-24,-0.2
2022-02-25,-0.2
2022-02-28,-0.2
2022-03-01,-0.1
2022-03-02,-0.1
2022-03-03,-0.1
2022-03-04,-0.1
2022-03-07,-0.1
2022-03-08,-0.1
2022-03-09,-0.1
2022-03-10,-0.1
2022-03-11,-0.1
2022-03-14,-0.1
2022-03-15,-0.1
2022-03-16,-0.1
2022-03-17,-0.1
2022-03-18,-0.1
2022-03-21,-0.1
2022-03-22,-0.1
2022-03-23,-0.1
2022-03-24,-0.7
2022-03-25,-0.7
2022-03-28,-0.7
2022-03-29,-0.7
2022-03-30,0.7
2022-03-31,-0.4
2022-04-01,-0.4
2022-04-04,-0.4
2022-04-05,-0.4
2022-04-06,-1.59
2022-04-07,-1.59
2022-04-08,0.6
2022-04-11,0.6
2022-04-12,0.6
2022-04-13,0.6
2022-04-14,0.6
2022-04-18,0.6
2022-04-19,0.6
2022-04-20,-0.2
2022-04-21,-0.2
2022-04-22,-0.2
2022-04-25,-0.2
2022-04-26,-0.3
2022-04-27,-0.3
2022-04-28,-0.1
2022-04-29,-0.1
2022-05-02,0.2
2022-05-03,0.2
2022-05-04,0.4
2022-05-05,0.4
2022-05-06,0.4
2022-05-09,0.4
2022-05-10,-0.1
2022-05-11,-0.1
2022-05-12,-0.1
2022-05-13,-0.1
2022-05-16,-0.1
2022-05-17,-0.1
2022-05-18,-0.1
2022-05-19,-0.1
2022-05-20,-0.1
2022-05-23,-0.1
2022-05-24,-0.1
2022-05-25,-0.1
2022-05-26,-0.1
2022-05-27,-0.1
2022-05-31,-0.1
2022-06-01,-0.5
2022-06-02,-0.5
2022-06-03,-0.5
2022-06-06,-0.5
2022-06-07,-0.5
2022-06-08,-0.2
2022-06-09,-0.6
2022-06-10,-0.3
2022-06-13,-0.8
2022-06-14,-0.8
2022-06-15,-0.8
2022-06-16,-0.8
2022-06-17,-0.8
2022-06-21,-0.8
2022-06-22,-0.6
2022-06-23,-0.6
2022-06-24,-0.6
2022-06-27,-0.6
2022-06-28,-0.6
2022-06-29,-0.6
2022-06-30,-0.6
2022-07-01,-0.6
2022-07-05,-0.6
2022-07-06,-0.7
2022-07-07,-0.7
2022-07-08,-0.7
2022-07-11,-0.7
2022-07-12,-0.7
2022-07-13,-0.7
2022-07-14,-0.7
2022-07-15,-0.7
2022-07-18,-0.7
2022-07-19,-0.6
2022-07-20,-0.6
2022-07-21,-0.6
2022-07-22,-0.6
2022-07-25,-0.6
2022-07-26,-0.4
2022-07-27,-0.4
2022-07-28,-0.3
2022-07-29,-0.3
2022-08-01,-0.3
2022-08-02,-0.6
2022-08-03,-0.2
2022-08-04,-0.2
2022-08-05,-0.2
2022-08-08,-0.2
2022-08-09,-0.7
2022-08-10,-0.4
2022-08-11,-0.4
2022-08-12,-0.4
2022-08-15,-0.4
2022-08-16,-0.4
2022-08-17,-0.3
2022-08-18,-0.6
2022-08-19,-0.6
2022-08-22,-0.6
2022-08-23,-0.6
2022-08-24,-0.6
2022-08-25,-0.6
2022-08-26,-0.6
2022-08-29,-0.6
2022-08-30,-0.6
2022-08-31,-0.8
2022-09-01,-0.8
2022-09-02,-0.6
2022-09-06,-0.6
2022-09-07,-0.6
2022-09-08,-0.6
2022-09-09,-0.6
2022-09-12,-0.6
2022-09-13,-0.6
2022-09-14,-0.6
2022-09-15,-0.8
2022-09-16,-0.8
2022-09-19,-0.7
2022-09-20,-0.8
2022-09-21,-0.8
2022-09-22,-0.89
2022-09-23,-0.89
2022-09-26,-0.89
2022-09-27,-0.89
2022-09-28,0.4
2022-09-29,0.4
2022-09-30,0.4
2022-10-03,0.4
2022-10-04,0.4
2022-10-05,0.4
2022-10-06,-0.5
2022-10-07,-0.5
2022-10-10,-0.5
2022-10-11,-0.5
2022-10-12,-0.5
2022-10-13,-0.6
2022-10-14,-0.3
2022-10-17,-0.3
2022-10-18,-0.3
2022-10-19,-0.6
2022-10-20,-0.4
2022-10-21,-0.5
2022-10-24,-0.4
2022-10-25,-0.4
2022-10-26,-0.4
2022-10-27,-0.4
2022-10-28,-0.4
2022-11-01,-0.4
2022-11-02,-0.2
2022-11-03,-0.6
2022-11-04,-0.6
2022-11-07,-0.6
2022-11-08,-0.2
2022-11-09,-0.8
2022-11-10,-0.5
2022-11-11,-0.6
2022-11-14,-0.3
2022-11-15,-0.3
2022-11-16,-0.3
2022-11-17,-0.3
